City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
264,muisne,EC,0.6,-80.0333,73.65,84,100,7.76,overcast clouds,0.0,0
265,manicore,BR,-5.8092,-61.3003,82.35,78,0,5.75,clear sky,0.0,0
266,dauphin,CA,51.1494,-100.0502,66.34,88,0,5.75,clear sky,0.0,0
267,pryazha,RU,61.6926,33.6216,65.43,49,100,6.44,overcast clouds,0.0,0
268,saint george,US,37.1041,-113.5841,82.8,53,0,9.22,clear sky,0.0,0
269,kavaratti,IN,10.5669,72.642,81.61,84,94,16.89,overcast clouds,0.0,0
270,makaha,US,21.4694,-158.2175,76.95,68,75,0.0,broken clouds,0.0,0
271,san vicente,AR,-26.6167,-54.1333,70.29,51,87,9.28,overcast clouds,0.0,0
272,mogadouro,PT,41.3403,-6.7119,102.58,10,54,6.82,broken clouds,0.0,0
273,yining,CN,29.0361,114.5636,81.75,81,100,2.66,overcast clouds,0.0,0
274,bethel,US,41.3712,-73.414,78.6,62,0,3.44,clear sky,0.0,0
275,cherskiy,RU,68.75,161.3,40.39,61,59,4.72,broken clouds,0.0,0
276,ponta do sol,PT,32.6667,-17.1,77.63,72,2,1.88,clear sky,0.0,0
277,jahangirpur,IN,28.1833,77.7167,95.61,36,54,6.89,broken clouds,0.0,0
278,santa lucia,ES,27.9117,-15.5407,72.77,65,20,31.07,few clouds,0.0,0
279,hay river,CA,60.8156,-115.7999,57.18,88,75,0.0,broken clouds,0.0,0
280,ciparay,ID,-7.4249,108.4742,75.87,98,100,1.45,light rain,0.65,0
281,hobyo,SO,5.3505,48.5268,80.31,72,89,27.76,overcast clouds,0.0,0
282,guerrero negro,MX,27.9769,-114.0611,66.61,86,36,10.58,scattered clouds,0.0,0
283,barcelos,PT,41.5388,-8.6151,90.91,49,100,7.09,overcast clouds,0.0,0
284,irbeyskoye,RU,55.6428,95.4522,56.16,71,69,0.98,broken clouds,0.0,0
285,concepcion del oro,MX,24.6333,-101.4167,62.47,65,38,2.08,scattered clouds,0.0,0
286,awjilah,LY,29.1081,21.2869,93.33,16,0,12.01,clear sky,0.0,0
287,artesia,US,33.8658,-118.0831,70.38,91,0,5.75,clear sky,0.0,0
288,codrington,AU,-38.2667,141.9667,49.01,67,100,11.34,light rain,0.23,0
289,mandalgovi,MN,45.7625,106.2708,68.54,48,5,18.39,clear sky,0.0,0
290,airai,TL,-8.9266,125.4092,54.88,88,58,3.31,broken clouds,0.0,0
291,yar-sale,RU,66.8333,70.8333,65.73,47,0,10.38,clear sky,0.0,0
292,mvuma,ZW,-19.2792,30.5283,67.14,26,71,12.82,broken clouds,0.0,0
293,fleetwood,GB,53.9253,-3.0109,64.44,72,75,18.41,broken clouds,0.0,0
294,elk river,US,45.3038,-93.5672,76.46,78,65,3.0,broken clouds,0.0,0
295,shimoda,JP,34.6667,138.95,74.1,91,21,2.1,moderate rain,2.01,0
296,anchorage,US,61.2181,-149.9003,53.67,88,40,5.75,scattered clouds,0.0,0
297,tahoua,NE,14.8888,5.2692,98.87,30,15,9.93,few clouds,0.0,0
298,upata,VE,8.0086,-62.3989,77.2,86,81,2.77,broken clouds,0.0,0
299,high level,CA,58.5169,-117.136,55.51,82,40,4.61,scattered clouds,0.0,0
300,wheeling,US,42.1392,-87.929,68.25,93,100,8.05,overcast clouds,0.0,0
301,vila velha,BR,-20.3297,-40.2925,75.15,84,75,3.44,broken clouds,0.0,0
302,danane,CI,7.2596,-8.155,80.85,73,99,3.29,light rain,0.61,0
303,bendigo,AU,-36.7667,144.2833,43.86,55,100,4.36,overcast clouds,0.0,0
304,hilo,US,19.7297,-155.09,78.28,96,100,4.61,moderate rain,1.02,0
305,kalevala,RU,65.2,31.1667,62.73,83,98,6.38,overcast clouds,0.0,0
306,aranda de duero,ES,41.6704,-3.6892,101.52,9,17,10.76,few clouds,0.0,0
307,sitka,US,57.0531,-135.33,57.09,82,75,0.0,light rain,0.0,0
308,constitucion,CL,-35.3333,-72.4167,45.97,83,100,7.76,light rain,0.25,0
309,okhotsk,RU,59.3833,143.3,58.73,95,100,4.45,overcast clouds,0.0,0
310,west wendover,US,40.7391,-114.0733,76.21,41,0,3.44,clear sky,0.0,0
