City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,San Cristobal,VE,2022-07-12 16:26:08,7.7669,-72.225,299.25,78,94,2.58
133,Severo-Kurilsk,RU,2022-07-12 16:26:09,50.6789,156.125,284.9,92,30,1.67
134,Pombas,CV,2022-07-12 16:26:09,17.1503,-25.0201,301.03,83,21,4.91
135,Faanui,PF,2022-07-12 16:26:10,-16.4833,-151.75,298.58,72,4,2.86
136,Dhaulpur,IN,2022-07-12 16:26:10,26.7,77.9,309.71,39,42,3.43
137,Tuktoyaktuk,CA,2022-07-12 16:26:11,69.4541,-133.0374,278.15,100,100,4.12
138,Hasaki,JP,2022-07-12 16:26:11,35.7333,140.8333,296.37,92,100,2.06
139,Srednekolymsk,RU,2022-07-12 16:26:12,67.45,153.6833,289.6,54,91,2.6
140,Grenfell,AU,2022-07-12 16:26:12,-33.9,148.1667,278.4,93,100,1.95
141,Souillac,MU,2022-07-12 16:26:13,-20.5167,57.5167,295.36,64,75,7.2
142,Boa Vista,BR,2022-07-12 16:22:55,2.8197,-60.6733,305.14,58,40,2.57
143,Rock Springs,US,2022-07-12 16:21:50,41.5875,-109.2029,299.39,34,0,1.54
144,Alice Springs,AU,2022-07-12 16:26:14,-23.7,133.8833,274.9,80,0,0.0
145,Mount Gambier,AU,2022-07-12 16:26:14,-37.8333,140.7667,275.1,100,100,3.09
146,Zhigansk,RU,2022-07-12 16:26:15,66.7697,123.3711,286.07,94,71,3.68
147,Trat,TH,2022-07-12 16:26:15,12.5,102.5,299.75,92,100,3.31
148,Puerto Ayora,EC,2022-07-12 16:26:16,-0.7393,-90.3518,298.13,77,47,2.68
149,Imbituba,BR,2022-07-12 16:26:16,-28.24,-48.6703,291.4,78,81,9.39
150,Lompoc,US,2022-07-12 16:26:16,34.6391,-120.4579,290.84,89,100,2.57
151,Butaritari,KI,2022-07-12 16:26:17,3.0707,172.7902,300.55,81,100,7.74
152,Carnarvon,AU,2022-07-12 16:26:17,-24.8667,113.6333,292.16,66,0,1.3
153,Pisco,PE,2022-07-12 16:26:18,-13.7,-76.2167,289.27,82,100,2.06
154,Karratha,AU,2022-07-12 16:26:18,-20.7377,116.8463,292.43,61,5,2.77
155,Sao Filipe,CV,2022-07-12 16:26:19,14.8961,-24.4956,297.01,80,17,2.85
156,Jati,PK,2022-07-12 16:26:20,24.3539,68.2671,301.37,84,61,6.37
157,Mezhgorye,UA,2022-07-12 16:26:20,44.9667,34.4167,293.35,62,95,1.68
158,Ahipara,NZ,2022-07-12 16:26:20,-35.1667,173.1667,287.56,86,6,6.68
159,Swan Hill,AU,2022-07-12 16:23:20,-35.3378,143.5544,278.27,94,63,3.21
